gamma=[ 0.9,0.95,0.99]
lr=[0.002, 0.001, 0.0005, 0.0001]

Episode 1 Step 14: Training Loss nan, Return 9.0
Episode 2 Step 26: Training Loss nan, Return 9.0
Episode 3 Step 18: Training Loss nan, Return 10.0
Episode 4 Step 15: Training Loss nan, Return 10.0
Episode 5 Step 11: Training Loss nan, Return 10.0
Episode 6 Step 19: Training Loss nan, Return 9.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 8: Training Loss nan, Return 10.0
Episode 9 Step 11: Training Loss nan, Return 9.0
Episode 10 Step 13: Training Loss nan, Return 9.0
Episode 11 Step 10: Training Loss nan, Return 9.0
Episode 12 Step 17: Training Loss nan, Return 10.0
Episode 13 Step 9: Training Loss nan, Return 10.0
Episode 14 Step 11: Training Loss nan, Return 9.0
Episode 15 Step 17: Training Loss nan, Return 9.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 19: Training Loss nan, Return 9.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 95 Step 11: Training Loss 0.020131738856434822, Return 9.0
Episode 96 Step 14: Training Loss 0.021702634170651436, Return 12.0
Episode 97 Step 11: Training Loss 0.020601866766810417, Return 11.0
Episode 98 Step 12: Training Loss 0.021517910063266754, Return 9.0
Episode 99 Step 17: Training Loss 0.022355593740940094, Return 9.0
Episode 100 Step 10: Training Loss 0.023182472214102745, Return 12.0
Episode 101 Step 9: Training Loss 0.021867338567972183, Return 12.0
Episode 102 Step 12: Training Loss 0.02412528544664383, Return 10.0
Episode 103 Step 10: Training Loss 0.02318454161286354, Return 11.0
Episode 104 Step 9: Training Loss 0.022593583911657333, Return 11.0
Episode 105 Step 12: Training Loss 0.022244879975914955, Return 10.0
Episode 106 Step 11: Training Loss 0.023629767820239067, Return 9.0
Episode 107 Step 9: Training Loss 0.02396802045404911, Return 9.0
Episode 108 Step 15: Training Loss 0.02339804172515869, Return 10.0
Episode 109 Step 9: Training Loss 0.024016736075282097, Return 9.0
Episode 110 Step 10: Training Loss 0.024131525307893753, Return 13.0
Episode 111 Step 11: Training Loss 0.026388363912701607, Return 11.0
Episode 112 Step 10: Training Loss 0.025184204801917076, Return 9.0
Episode 113 Step 12: Training Loss 0.029504671692848206, Return 13.0
Episode 114 Step 14: Training Loss 0.027114063501358032, Return 10.0
Episode 115 Step 15: Training Loss 0.027098892256617546, Return 13.0
Episode 116 Step 10: Training Loss 0.027991721406579018, Return 11.0
Episode 117 Step 13: Training Loss 0.02924424782395363, Return 12.0
Episode 118 Step 12: Training Loss 0.0288984477519989, Return 9.0
Episode 119 Step 12: Training Loss 0.027153903618454933, Return 11.0
Episode 120 Step 13: Training Loss 0.029760628938674927, Return 10.0
Episode 121 Step 11: Training Loss 0.02910083346068859, Return 10.0
Episode 122 Step 13: Training Loss 0.029642952606081963, Return 10.0
Episode 123 Step 14: Training Loss 0.028279678896069527, Return 12.0
Episode 124 Step 15: Training Loss 0.027223912999033928, Return 11.0
Episode 125 Step 11: Training Loss 0.03032265231013298, Return 13.0
Episode 126 Step 14: Training Loss 0.030266180634498596, Return 12.0
Episode 127 Step 10: Training Loss 0.031205106526613235, Return 9.0
Episode 128 Step 10: Training Loss 0.031307343393564224, Return 10.0
Episode 129 Step 13: Training Loss 0.03174196556210518, Return 12.0
Episode 130 Step 12: Training Loss 0.03237448260188103, Return 10.0
Episode 131 Step 14: Training Loss 0.03045905940234661, Return 11.0
Episode 132 Step 13: Training Loss 0.033543430268764496, Return 9.0
Episode 133 Step 10: Training Loss 0.031214967370033264, Return 9.0
Episode 134 Step 11: Training Loss 0.03281782567501068, Return 11.0
Episode 135 Step 14: Training Loss 0.03487745299935341, Return 10.0
Episode 136 Step 11: Training Loss 0.033481426537036896, Return 9.0
Episode 137 Step 11: Training Loss 0.03214999660849571, Return 13.0
Episode 138 Step 11: Training Loss 0.03424987941980362, Return 10.0
Episode 139 Step 13: Training Loss 0.0320960208773613, Return 10.0
Episode 140 Step 10: Training Loss 0.036835189908742905, Return 9.0
Episode 141 Step 14: Training Loss 0.03632863610982895, Return 11.0
Episode 142 Step 11: Training Loss 0.03724795952439308, Return 9.0
Episode 143 Step 9: Training Loss 0.0369173139333725, Return 11.0
Episode 144 Step 12: Training Loss 0.03388894349336624, Return 16.0
Episode 145 Step 12: Training Loss 0.03818697854876518, Return 12.0
Episode 146 Step 10: Training Loss 0.033800434321165085, Return 10.0
Episode 147 Step 10: Training Loss 0.037618570029735565, Return 11.0
Episode 148 Step 11: Training Loss 0.03745269402861595, Return 9.0
Episode 149 Step 12: Training Loss 0.040106069296598434, Return 12.0
Episode 150 Step 15: Training Loss 0.03864698112010956, Return 9.0
Episode 151 Step 14: Training Loss 0.036999642848968506, Return 13.0
Episode 152 Step 16: Training Loss 0.03901961073279381, Return 16.0
Episode 153 Step 15: Training Loss 0.037860386073589325, Return 16.0
Episode 154 Step 11: Training Loss 0.03606463968753815, Return 11.0
Episode 155 Step 14: Training Loss 0.039780400693416595, Return 16.0
Episode 156 Step 18: Training Loss 0.039241865277290344, Return 14.0
Episode 157 Step 12: Training Loss 0.038112156093120575, Return 16.0
Episode 158 Step 14: Training Loss 0.039413537830114365, Return 12.0
Episode 159 Step 15: Training Loss 0.03953372687101364, Return 15.0
Episode 160 Step 10: Training Loss 0.04055139422416687, Return 15.0
Episode 161 Step 13: Training Loss 0.038412757217884064, Return 14.0
Episode 162 Step 14: Training Loss 0.04283948987722397, Return 12.0
Episode 163 Step 16: Training Loss 0.04129684716463089, Return 15.0
Episode 164 Step 17: Training Loss 0.045352622866630554, Return 12.0
Episode 165 Step 13: Training Loss 0.04265715554356575, Return 16.0
Episode 166 Step 16: Training Loss 0.03861643373966217, Return 13.0
Episode 167 Step 13: Training Loss 0.045161888003349304, Return 15.0
Episode 168 Step 12: Training Loss 0.041405364871025085, Return 13.0
Episode 169 Step 14: Training Loss 0.04140368849039078, Return 14.0
Episode 170 Step 11: Training Loss 0.03854264318943024, Return 17.0
Episode 171 Step 13: Training Loss 0.043577488511800766, Return 15.0
Episode 172 Step 18: Training Loss 0.043058570474386215, Return 9.0
Episode 173 Step 21: Training Loss 0.04374465346336365, Return 15.0
Episode 174 Step 11: Training Loss 0.04225843772292137, Return 15.0
Episode 175 Step 16: Training Loss 0.046211350709199905, Return 17.0
Episode 176 Step 17: Training Loss 0.044948965311050415, Return 10.0
Episode 177 Step 10: Training Loss 0.04642931744456291, Return 17.0
Episode 178 Step 14: Training Loss 0.04741889610886574, Return 11.0
