Episode 1 Step 50: Training Loss nan, Return 9.0
Episode 2 Step 16: Training Loss nan, Return 10.0
Episode 3 Step 19: Training Loss nan, Return 11.0
Episode 4 Step 28: Training Loss nan, Return 9.0
Episode 5 Step 12: Training Loss nan, Return 10.0
Episode 6 Step 27: Training Loss nan, Return 9.0
Episode 7 Step 32: Training Loss nan, Return 8.0
Episode 8 Step 20: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:69: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 9 Step 55: Training Loss 1.1258902549743652, Return 9.0
Episode 10 Step 17: Training Loss 0.9127519130706787, Return 10.0
Episode 11 Step 14: Training Loss 0.6353729367256165, Return 10.0
Episode 12 Step 26: Training Loss 0.3429902493953705, Return 11.0
Episode 13 Step 14: Training Loss 0.1389637142419815, Return 8.0
Episode 14 Step 23: Training Loss 0.05576665326952934, Return 10.0
Episode 15 Step 32: Training Loss 0.025859344750642776, Return 10.0
Episode 16 Step 9: Training Loss 0.017887162044644356, Return 13.0
Episode 17 Step 13: Training Loss 0.016083937138319016, Return 10.0
Episode 18 Step 15: Training Loss 0.013432727195322514, Return 12.0
Episode 19 Step 16: Training Loss 0.009955773130059242, Return 11.0
Episode 20 Step 12: Training Loss 0.00792346615344286, Return 9.0
Episode 21 Step 14: Training Loss 0.005818099714815617, Return 11.0
Episode 22 Step 15: Training Loss 0.004279901273548603, Return 13.0
Episode 23 Step 10: Training Loss 0.0031160018406808376, Return 10.0
Episode 24 Step 44: Training Loss 0.002317675855010748, Return 12.0
Episode 25 Step 19: Training Loss 0.0021395012736320496, Return 9.0
Episode 26 Step 9: Training Loss 0.002086636843159795, Return 9.0
Episode 27 Step 9: Training Loss 0.0020913102198392153, Return 13.0
Episode 28 Step 10: Training Loss 0.002245831536129117, Return 11.0
Episode 29 Step 12: Training Loss 0.002194131724536419, Return 9.0
Episode 30 Step 19: Training Loss 0.002390848705545068, Return 13.0
Episode 31 Step 11: Training Loss 0.0024804826825857162, Return 9.0
Episode 32 Step 10: Training Loss 0.002573988400399685, Return 9.0
Episode 33 Step 12: Training Loss 0.0029048325959593058, Return 8.0
Episode 34 Step 11: Training Loss 0.003051688661798835, Return 8.0
Episode 35 Step 14: Training Loss 0.00311434012837708, Return 10.0
Episode 36 Step 16: Training Loss 0.0030015131924301386, Return 8.0
Episode 37 Step 14: Training Loss 0.0034295544028282166, Return 8.0
Episode 38 Step 17: Training Loss 0.0036915356758981943, Return 10.0
Episode 39 Step 13: Training Loss 0.003981282934546471, Return 10.0
Episode 40 Step 9: Training Loss 0.003993118181824684, Return 10.0
Episode 41 Step 14: Training Loss 0.004162664990872145, Return 11.0
Episode 42 Step 26: Training Loss 0.004395779687911272, Return 11.0
Episode 43 Step 14: Training Loss 0.0043304236605763435, Return 9.0
Episode 44 Step 16: Training Loss 0.0048260497860610485, Return 9.0
Episode 45 Step 13: Training Loss 0.005145594477653503, Return 9.0
Episode 46 Step 10: Training Loss 0.005599549505859613, Return 9.0
Episode 47 Step 12: Training Loss 0.005275271832942963, Return 12.0
Episode 48 Step 22: Training Loss 0.005119383800774813, Return 11.0
Episode 49 Step 11: Training Loss 0.005895102396607399, Return 11.0
Episode 50 Step 13: Training Loss 0.006784581113606691, Return 10.0
Episode 51 Step 19: Training Loss 0.00666871527209878, Return 10.0
Episode 52 Step 12: Training Loss 0.007280930411070585, Return 9.0
Episode 53 Step 13: Training Loss 0.007066663820296526, Return 9.0
Episode 54 Step 10: Training Loss 0.007112584076821804, Return 8.0
Episode 55 Step 14: Training Loss 0.006841782480478287, Return 8.0
Episode 56 Step 10: Training Loss 0.0069864243268966675, Return 11.0
Episode 57 Step 11: Training Loss 0.008258030749857426, Return 11.0
Episode 58 Step 13: Training Loss 0.0083441948518157, Return 10.0
Episode 59 Step 16: Training Loss 0.00873530749231577, Return 12.0
Episode 60 Step 16: Training Loss 0.009119175374507904, Return 10.0
Episode 61 Step 12: Training Loss 0.008622067049145699, Return 11.0
Episode 62 Step 12: Training Loss 0.009611605666577816, Return 10.0
Episode 63 Step 9: Training Loss 0.009465589188039303, Return 10.0
Episode 64 Step 14: Training Loss 0.009775437414646149, Return 10.0
Episode 65 Step 9: Training Loss 0.010388199239969254, Return 11.0
Episode 66 Step 12: Training Loss 0.011241462081670761, Return 10.0
Episode 67 Step 9: Training Loss 0.011145930737257004, Return 12.0
Episode 68 Step 10: Training Loss 0.0107375243678689, Return 12.0
Episode 69 Step 17: Training Loss 0.01167281623929739, Return 9.0
Episode 70 Step 10: Training Loss 0.01194019429385662, Return 9.0
Episode 71 Step 10: Training Loss 0.012501103803515434, Return 11.0
Episode 72 Step 11: Training Loss 0.012645009905099869, Return 10.0
Episode 73 Step 12: Training Loss 0.011915679089725018, Return 9.0
Episode 74 Step 10: Training Loss 0.01483971904963255, Return 11.0
Episode 75 Step 12: Training Loss 0.014913701452314854, Return 9.0
Episode 76 Step 11: Training Loss 0.01413713302463293, Return 10.0
Episode 77 Step 11: Training Loss 0.014712503179907799, Return 11.0
Episode 78 Step 11: Training Loss 0.015714488923549652, Return 10.0
Episode 79 Step 14: Training Loss 0.015334069728851318, Return 9.0
Episode 80 Step 19: Training Loss 0.01633654534816742, Return 11.0
Episode 81 Step 11: Training Loss 0.017262060195207596, Return 11.0
Episode 82 Step 19: Training Loss 0.016764994710683823, Return 11.0
