Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 95 Step 17: Training Loss 0.021852388978004456, Return 10.0
Episode 96 Step 10: Training Loss 0.02050446905195713, Return 10.0
Episode 97 Step 13: Training Loss 0.022331861779093742, Return 9.0
Episode 98 Step 12: Training Loss 0.02337532676756382, Return 8.0
Episode 99 Step 10: Training Loss 0.024331340566277504, Return 9.0
Episode 100 Step 10: Training Loss 0.02531372383236885, Return 9.0
Episode 101 Step 13: Training Loss 0.024587886407971382, Return 8.0
Episode 102 Step 13: Training Loss 0.025008391588926315, Return 11.0
Episode 103 Step 9: Training Loss 0.02326812781393528, Return 11.0
Episode 104 Step 10: Training Loss 0.027422603219747543, Return 11.0
Episode 105 Step 9: Training Loss 0.025255199521780014, Return 11.0
Episode 106 Step 12: Training Loss 0.026591867208480835, Return 10.0
Episode 107 Step 13: Training Loss 0.026330897584557533, Return 10.0
Episode 108 Step 12: Training Loss 0.026827866211533546, Return 10.0
Episode 109 Step 9: Training Loss 0.024195833131670952, Return 9.0
Episode 110 Step 13: Training Loss 0.02438947558403015, Return 9.0
