Episode 1 Step 13: Training Loss nan, Return 8.0
Episode 2 Step 42: Training Loss nan, Return 9.0
Episode 3 Step 19: Training Loss nan, Return 9.0
Episode 4 Step 18: Training Loss nan, Return 9.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 28: Training Loss nan, Return 11.0
Episode 7 Step 22: Training Loss nan, Return 9.0
Episode 8 Step 24: Training Loss nan, Return 8.0
Episode 9 Step 15: Training Loss nan, Return 11.0
Episode 10 Step 39: Training Loss nan, Return 10.0
Episode 11 Step 18: Training Loss nan, Return 10.0
Episode 12 Step 30: Training Loss nan, Return 9.0
Episode 13 Step 22: Training Loss nan, Return 10.0
Episode 14 Step 12: Training Loss nan, Return 10.0
Episode 15 Step 13: Training Loss nan, Return 10.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 21: Training Loss nan, Return 9.0
Episode 18 Step 17: Training Loss nan, Return 9.0
Episode 19 Step 13: Training Loss nan, Return 9.0
Episode 20 Step 13: Training Loss nan, Return 10.0
Episode 21 Step 51: Training Loss nan, Return 9.0
Episode 22 Step 16: Training Loss nan, Return 10.0
Episode 23 Step 26: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:77: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 97 Step 10: Training Loss 0.10728111118078232, Return 10.0
Episode 98 Step 18: Training Loss 0.10566592961549759, Return 9.0
Episode 99 Step 21: Training Loss 0.10731054842472076, Return 9.0
Episode 100 Step 17: Training Loss 0.10572346299886703, Return 11.0
Episode 101 Step 13: Training Loss 0.10573974996805191, Return 10.0
Episode 102 Step 15: Training Loss 0.10125461220741272, Return 11.0
Episode 103 Step 15: Training Loss 0.09790419042110443, Return 9.0
Episode 104 Step 13: Training Loss 0.09717898070812225, Return 8.0
Episode 105 Step 10: Training Loss 0.10151998698711395, Return 11.0
Episode 106 Step 24: Training Loss 0.09504014253616333, Return 8.0
Episode 107 Step 19: Training Loss 0.10049424320459366, Return 11.0
Episode 108 Step 10: Training Loss 0.09416937828063965, Return 11.0
Episode 109 Step 24: Training Loss 0.09767088294029236, Return 9.0
Episode 110 Step 10: Training Loss 0.09613524377346039, Return 10.0
Episode 111 Step 18: Training Loss 0.09215832501649857, Return 11.0
Episode 112 Step 11: Training Loss 0.09469881653785706, Return 9.0
Episode 113 Step 10: Training Loss 0.09305877238512039, Return 10.0
Episode 114 Step 12: Training Loss 0.09387948364019394, Return 9.0
Episode 115 Step 15: Training Loss 0.09444379806518555, Return 10.0
Episode 116 Step 13: Training Loss 0.09390013664960861, Return 11.0
Episode 117 Step 11: Training Loss 0.09006155282258987, Return 9.0
Episode 118 Step 12: Training Loss 0.09345915168523788, Return 11.0
Episode 119 Step 12: Training Loss 0.0903075560927391, Return 8.0
Episode 120 Step 10: Training Loss 0.08958540111780167, Return 9.0
Episode 121 Step 13: Training Loss 0.0893169716000557, Return 10.0
Episode 122 Step 15: Training Loss 0.08873780071735382, Return 11.0
Episode 123 Step 16: Training Loss 0.08987469971179962, Return 10.0
Episode 124 Step 25: Training Loss 0.08904508501291275, Return 9.0
Episode 125 Step 11: Training Loss 0.08977688103914261, Return 9.0
Episode 126 Step 13: Training Loss 0.0872560441493988, Return 9.0
Episode 127 Step 20: Training Loss 0.08742489665746689, Return 10.0
Episode 128 Step 12: Training Loss 0.08493641763925552, Return 10.0
Episode 129 Step 20: Training Loss 0.09158162772655487, Return 9.0
Episode 130 Step 11: Training Loss 0.08937650173902512, Return 10.0
Episode 131 Step 14: Training Loss 0.0891648530960083, Return 11.0
Episode 132 Step 14: Training Loss 0.08715175837278366, Return 9.0
Episode 133 Step 19: Training Loss 0.08959607779979706, Return 9.0
Episode 134 Step 15: Training Loss 0.08798275887966156, Return 10.0
Episode 135 Step 10: Training Loss 0.09145115315914154, Return 10.0
Episode 136 Step 15: Training Loss 0.08572249114513397, Return 9.0
Episode 137 Step 9: Training Loss 0.09106484800577164, Return 10.0
Episode 138 Step 16: Training Loss 0.08942094445228577, Return 10.0
Episode 139 Step 15: Training Loss 0.0893704816699028, Return 10.0
Episode 140 Step 13: Training Loss 0.08752544969320297, Return 8.0
Episode 141 Step 18: Training Loss 0.087004154920578, Return 11.0
Episode 142 Step 11: Training Loss 0.08751542866230011, Return 10.0
Episode 143 Step 10: Training Loss 0.09067612886428833, Return 10.0
Episode 144 Step 22: Training Loss 0.092681884765625, Return 10.0
Episode 145 Step 16: Training Loss 0.08958536386489868, Return 8.0
Episode 146 Step 14: Training Loss 0.09073633700609207, Return 10.0
Episode 147 Step 24: Training Loss 0.08894633501768112, Return 9.0
